,LINK,RECEITA,TIPO,PREPARO,RENDIMENTO
154,https://www.tudogostoso.com.br/receita/630-bolo-bandeja-de-coco.html, Bolo bandeja de coco ,,60.0,12
155,https://www.tudogostoso.com.br/receita/631-dourado-com-camaroes-ao-forno.html, Dourado com camarões ao forno ,,50.0,10
156,https://www.tudogostoso.com.br/receita/632-bolinho-de-chuchu.html, Bolinho de chuchu ,,30.0,20
157,https://www.tudogostoso.com.br/receita/633-bolo-de-sardinha.html, Bolo de sardinha ,,60.0,15
158,https://www.tudogostoso.com.br/receita/634-bacalhau-com-creme-de-leite.html, Bacalhau com creme de leite ,,90.0,4
159,https://www.tudogostoso.com.br/receita/636-sorvete-brasileiro.html, Sorvete brasileiro ,,35.0,4
160,https://www.tudogostoso.com.br/receita/637-gelado-rico.html, Gelado rico ,,30.0,20
161,https://www.tudogostoso.com.br/receita/639-chocolate-quente-ligeirinho.html, Chocolate quente ligeirinho ,,5.0,1
162,https://www.tudogostoso.com.br/receita/642-polvo-com-arroz-e-brocolis.html, Polvo com arroz e brócolis ,,60.0,10
163,https://www.tudogostoso.com.br/receita/647-gelatina-gostosa.html, Gelatina gostosa ,,30.0,6
164,https://www.tudogostoso.com.br/receita/649-pao-de-queijo.html, Pão de queijo ,,40.0,36
165,https://www.tudogostoso.com.br/receita/650-creme-chines.html, Creme chinês ,,0.0,0
166,https://www.tudogostoso.com.br/receita/656-pudim-de-natal.html, Pudim de Natal ,,30.0,0
167,https://www.tudogostoso.com.br/receita/657-cassarola-italiana.html, Cassarola italiana ,,130.0,0
168,https://www.tudogostoso.com.br/receita/659-estrogonofe-de-uva.html, Estrogonofe de uva ,,30.0,6
169,https://www.tudogostoso.com.br/receita/660-quase-kafta.html, Quase kafta ,,30.0,40
170,https://www.tudogostoso.com.br/receita/662-pe-de-moleque.html, Pé de moleque ,,30.0,20
171,https://www.tudogostoso.com.br/receita/663-creme-de-abacaxi.html, Creme de abacaxi ,,30.0,6
172,https://www.tudogostoso.com.br/receita/665-croquetes-de-milho.html, Croquetes de milho ,,30.0,20
173,https://www.tudogostoso.com.br/receita/670-torta-de-sonho-de-valsa.html, Torta de Sonho de Valsa ,,15.0,1
174,https://www.tudogostoso.com.br/receita/673-pudim-de-coco.html, Pudim de coco ,,30.0,10
175,https://www.tudogostoso.com.br/receita/674-pate-de-tomate.html, Patê de tomate ,,15.0,1
176,https://www.tudogostoso.com.br/receita/675-torta-de-cebola.html, Torta de cebola ,,60.0,10
177,https://www.tudogostoso.com.br/receita/676-rosca-de-passas.html, Rosca de passas ,,65.0,0
178,https://www.tudogostoso.com.br/receita/677-mosaico-de-gelatina.html, Mosaico de gelatina ,,0.0,15
179,https://www.tudogostoso.com.br/receita/678-pudim-de-maria-mole.html, Pudim de maria-mole ,,20.0,10
180,https://www.tudogostoso.com.br/receita/679-bolo-da-vania.html, Bolo da Vânia ,,45.0,18
181,https://www.tudogostoso.com.br/receita/680-carreteiro-molhado.html, Carreteiro molhado ,,50.0,4
182,https://www.tudogostoso.com.br/receita/681-fritada-de-batata.html, Fritada de batata ,,20.0,4
